"T","X","Y","datasets","days"
"2019--P1Y", +0175, +0122,    2,    2
"2019--P1Y", +0175, +0123,    2,    2
"2019--P1Y", +0176, +0082,    2,    2
"2019--P1Y", +0176, +0083,    2,    2
"2019--P1Y", +0176, +0084,    2,    2
"2019--P1Y", +0176, +0085,    2,    2
"2019--P1Y", +0176, +0086,    2,    2
"2019--P1Y", +0176, +0087,    2,    2
"2019--P1Y", +0176, +0088,    2,    2
"2019--P1Y", +0176, +0089,    2,    2
"2019--P1Y", +0176, +0090,    2,    2
"2019--P1Y", +0176, +0091,    2,    2
"2019--P1Y", +0176, +0092,    2,    2
"2019--P1Y", +0176, +0093,    2,    2
"2019--P1Y", +0176, +0094,    2,    2
"2019--P1Y", +0176, +0095,    2,    2
"2019--P1Y", +0176, +0096,    2,    2
"2019--P1Y", +0176, +0097,    2,    2
"2019--P1Y", +0176, +0098,    2,    2
"2019--P1Y", +0176, +0099,    2,    2
"2019--P1Y", +0176, +0100,    2,    2
"2019--P1Y", +0176, +0101,    2,    2
"2019--P1Y", +0176, +0102,    2,    2
"2019--P1Y", +0176, +0103,    2,    2
"2019--P1Y", +0176, +0104,    2,    2
"2019--P1Y", +0176, +0105,    2,    2
"2019--P1Y", +0176, +0106,    2,    2
"2019--P1Y", +0176, +0107,    2,    2
"2019--P1Y", +0176, +0108,    2,    2
"2019--P1Y", +0176, +0109,    2,    2
"2019--P1Y", +0176, +0110,    2,    2
"2019--P1Y", +0176, +0111,    2,    2
"2019--P1Y", +0176, +0112,    2,    2
"2019--P1Y", +0176, +0113,    2,    2
"2019--P1Y", +0176, +0114,    2,    2
"2019--P1Y", +0176, +0115,    2,    2
"2019--P1Y", +0176, +0116,    2,    2
"2019--P1Y", +0176, +0117,    2,    2
"2019--P1Y", +0176, +0118,    2,    2
"2019--P1Y", +0176, +0119,    2,    2
"2019--P1Y", +0176, +0120,    2,    2
"2019--P1Y", +0176, +0121,    2,    2
"2019--P1Y", +0176, +0122,    2,    2
"2019--P1Y", +0176, +0123,    2,    2
"2019--P1Y", +0177, +0081,    2,    2
"2019--P1Y", +0177, +0082,    2,    2
"2019--P1Y", +0177, +0083,    2,    2
"2019--P1Y", +0177, +0084,    2,    2
"2019--P1Y", +0177, +0085,    2,    2
"2019--P1Y", +0177, +0086,    2,    2
"2019--P1Y", +0177, +0087,    2,    2
"2019--P1Y", +0177, +0088,    2,    2
"2019--P1Y", +0177, +0089,    2,    2
"2019--P1Y", +0177, +0090,    2,    2
"2019--P1Y", +0177, +0091,    2,    2
"2019--P1Y", +0177, +0092,    2,    2
"2019--P1Y", +0177, +0093,    2,    2
"2019--P1Y", +0177, +0094,    2,    2
"2019--P1Y", +0177, +0095,    2,    2
"2019--P1Y", +0177, +0096,    2,    2
"2019--P1Y", +0177, +0097,    2,    2
"2019--P1Y", +0177, +0098,    2,    2
"2019--P1Y", +0177, +0099,    2,    2
